ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0000920148-24-000017	/s/ Sandra D. van der Vaart, Attorney-in-Fact for Lance Berberian	29-MAR-2024
0001225208-24-004632	/s/ Linda B. Kalayjian, by POA from Peter Zaffino	29-MAR-2024
0000950172-24-000153	Cano Health, Inc., By: /s/ David J. Armstrong, Name: David J. Armstrong, Title: General Counsel	29-MAR-2024
0000950170-24-038706	/s/ Daniel Rapino	29-MAR-2024
0000950170-24-038705	/s/ Jessica Oien, Attorney-in-Fact for Jonathan Lim	29-MAR-2024
0000950170-24-038704	/s/ Daniel Rapino	29-MAR-2024
0000950170-24-038703	/s/ Jessica Oien, Attorney-in-Fact for Jennifer Lew	29-MAR-2024
0000950170-24-038702	/s/ Jessica Oien, Attorney-in-Fact for Jami Rubin	29-MAR-2024
0001415889-24-009444	/s/ John S. Hess, Jr. under Power of Attorney	29-MAR-2024
0000950170-24-038701	/s/ Jessica Oien, Attorney-in-Fact for James Christensen	29-MAR-2024
0000950170-24-038700	/s/ Jessica Oien, Attorney-in-Fact for Klaus Wagner	29-MAR-2024
0000950170-24-038699	/s/ Jessica Oien	29-MAR-2024
0000950170-24-038698	/s/ Jessica Oien, Attorney-in-Fact for Christine Brennan	29-MAR-2024
0000950170-24-038697	/s/ Jessica Oien, Attorney-in-Fact for Kristina Burow	29-MAR-2024
0000950170-24-038696	/s/ Jessica Oien, Attorney-in-Fact for Zachary Hornby	29-MAR-2024
0001214659-24-005633	/s/ Kjelti Kellough, as attorney in fact for Jonathan D Klein	29-MAR-2024
0001415889-24-009443	/s/ John S. Hess, Jr. under Power of Attorney	29-MAR-2024
0000950170-24-038695	/s/ Jessica Oien, Attorney-in-Fact for Neil Abdollahian	29-MAR-2024
0000950170-24-038693	/s/ Jessica Oien, Attorney-in-Fact for Nancy Whiting	29-MAR-2024
0000950170-24-038692	/s/ Jessica Oien, Attorney-in-Fact for Christian Hassig	29-MAR-2024
0001437749-24-010087	/s/ Robert J. Michel	29-MAR-2024
0001433195-24-000047	/s/ Matthew Mazza as Attorney-in-Fact for Klaus Schauser	29-MAR-2024
0001415889-24-009442	/s/ Haji Glover, by Vanessa Hill, Attorney-in-fact	29-MAR-2024
0001493152-24-011987	/s/Robert J Zulkoski	29-MAR-2024
0001213900-24-027996	/s/ Eric J. Cleary, Attorney in Fact for Daryl Simm	29-MAR-2024
0001213900-24-027994	/s/ Eric J. Cleary, Attorney in Fact for Philip J. Angelastro	29-MAR-2024
0000950170-24-038686	Steven D. Rubin, Attorney-in-Fact	29-MAR-2024
0001213900-24-027993	/s/ Eric J. Cleary, Attorney in Fact for Louis F. Januzzi	29-MAR-2024
0001213900-24-027992	/s/ John D. Wren	29-MAR-2024
0001805284-24-000039	/s/ Tina V. John, attorney in fact	29-MAR-2024
0001415889-24-009440	/s/ Kaya Henderson by Vanessa Hill, Attorney-in-Fact	29-MAR-2024
0000950170-24-038679	Steven D. Rubin, Attorney-in-Fact	29-MAR-2024
0001415889-24-009439	/s/ Kaya Henderson, by Vanessa Hill, Attorney-in-fact	29-MAR-2024
0001127602-24-011453	/s/ Richard Medway	29-MAR-2024
0001415889-24-009438	/s/ Alix Guerrier by Vanessa Hill, Attorney-in-Fact	29-MAR-2024
0001415889-24-009437	/s/ Alix Guerrier, by Vanessa Hill, Attorney-in-fact	29-MAR-2024
0001415889-24-009436	/s/ Andy Missan	29-MAR-2024
0000354950-24-000105	/s/ Stacy S. Ingram, Attorney-in-Fact for William D. Bastek	29-MAR-2024
0001724521-24-000071	/s/ Carolyn Tang, Attorney-in-Fact	29-MAR-2024
