ACCESSION_NUMBER	NONDERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0000899243-22-030206	6169170	Common Stock		31-AUG-2022				4	S	0	F1			806.0		154.41		D		101752.0	F2			D			
0000899243-22-030206	6169171	Common Stock		31-AUG-2022				4	S	0	F1			184.0		154.41		D		101568.0	F2			D			
0000899243-22-030206	6169172	Common Stock		31-AUG-2022				4	S	0	F1			4029.0		154.41		D		97539.0	F2			D			
0000899243-22-030205	6169063	Common Stock		31-AUG-2022				4	S	0	F1			1893.0		154.41		D		84390.0	F2			D			
0000899243-22-030205	6169062	Common Stock		31-AUG-2022				4	S	0	F1			1755.0		154.41		D		86283.0	F2			D			
0001225208-22-009931	6168383	Common Stock		31-AUG-2022				4	A	0				95.0	F1	0.0		A		166042.0				D			
0001567619-22-016952	6168734	Class A Common Stock		01-SEP-2022				4	S	0	F1			500.0	F1	29.55		D		18141.0				I		Robert D Johnson TTEE The RDJ Trust DTD 11/20/2007	
0001567619-22-016951	6168370	Common Stock		30-AUG-2022				4	F	0				1951.5		9.93		D		2029389.5				D			
0001567619-22-016949	6169602	Common Stock		30-AUG-2022				4	F	0				842.0		9.93		D		58745.93	F1			D			
0001209191-22-048319	6169084	Common Stock		01-SEP-2022				4	S	0	F1			500.0		66.06		D		51051.0				D			
0001209191-22-048319	6169083	Common Stock		01-SEP-2022				4	F	0				38.0	F2	66.32		D		51551.0				D			
0001209191-22-048319	6169082	Common Stock		01-SEP-2022				4	M	0	F1			1000.0		5.0		A		51589.0				D			
0001567619-22-016947	6169600	Common Stock		30-AUG-2022				4	F	0				631.0		9.93		D		42356.0				D			
0001261333-22-000141	6168621	Common Stock		01-SEP-2022				4	M	0				154.0		0.0		A		1081.0				D			
0001567619-22-016945	6168681	Common Stock		30-AUG-2022				4	F	0				1951.5		9.93		D		124118.0				D			
0001144980-22-000147	6168633	Common Stock		31-AUG-2022				4	G	0				100.0		0.0		D		6761.0				D			
0000899243-22-030201	6168142	Common Stock		30-AUG-2022				4	M	0				167323.0		2.08		A		191446.0				D			
0000899243-22-030201	6168143	Common Stock		30-AUG-2022				4	F	0	F1			93922.0		26.14		D		97524.0				D			
0001000045-22-000007	6169167	common stock		30-AUG-2022				4	A	0				2262.0	F1	0.0		A		3894.0				D			
