ACCESSION_NUMBER	DERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_TOTAL_VALUE	TRANS_TOTAL_VALUE_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	EXCERCISE_DATE	EXCERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001125376-22-000058	2271235	Employee Stock Option (right to buy)		15.8		04-APR-2022				4	M	0	F1			14158.0				0.0		D		25-MAY-2018	F11	25-MAY-2027		Common Stock		14158.0				3539.0				D			
0001125376-22-000058	2271232	Employee Stock Option (right to buy)		10.89		04-APR-2022				4	M	0	F1			90832.0				0.0		D		29-MAY-2015	F8	29-MAY-2024		Common Stock		90832.0				0.0				D			
0001261333-22-000055	2271261	Stock Option (Right to Buy)		16.21		05-APR-2022				4	M	0				3948.0				0.0		D			F9	16-APR-2027		Common Stock		3948.0				458552.0				D			
0001061983-22-000095	2271238	Non-Qualified Stock Option (right to buy)		12.1		04-APR-2022				4	M	0	F1			15000.0				0.0		D		30-JUN-2018		30-JUN-2027		Common Stock		15000.0				11944.0				D			
0001061983-22-000095	2271239	Non-Qualified Stock Option (right to buy)		12.1		05-APR-2022				4	M	0	F1			10000.0				0.0		D		30-JUN-2018		30-JUN-2027		Common Stock		10000.0				1944.0				D			
0001061983-22-000094	2271247	Non-Qualified Stock Option (right to buy)		7.96		04-APR-2022				4	M	0	F1			10000.0				0.0		D		26-MAR-2015		26-FEB-2025		Common Stock		10000.0				139208.0				D			
0000899243-22-014152	2271313	Phantom Stock			F1	04-APR-2022				4	A	0				174.0				129.54		A			F1		F1	Common Stock		174.0				984.0	F2			D			
0000899243-22-014151	2271307	Phantom Stock			F1	04-APR-2022				4	A	0				174.0				129.54		A			F1		F1	Common Stock		174.0				9037.0	F2			D			
0000899243-22-014148	2271420	Phantom Stock			F1	04-APR-2022				4	A	0				174.0				129.54		A			F1		F1	Common Stock		174.0				7508.0	F2			D			
0001251326-22-000004	2271382	Stock option (right to buy)		4.51		06-APR-2022				4	M	0				5887.0				0.0		D		29-MAR-2018		29-MAR-2023		Common Stock		5887.0				0.0				D			
0000899243-22-014146	2271405	Phantom Stock			F1	04-APR-2022				4	A	0				174.0				129.54		A			F1		F1	Common Stock		174.0				12100.0	F2			D			
