ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001415889-24-020935	1843051	Performance Restricted Stock Units			F5				F4		F4	Class A Common Stock		698.0								D			
0001468327-24-000256	1776279	Class B Common Stock			F2				F2		F2	Class A Common Stock		6155.0				6155.0				I		Held by spouse	
0001628280-24-035757	1897955	Restricted Stock Units			F8				F9		F9	Common Stock		3810.0				3810.0				D		By Mariposa Acquisition IV, LLC	F7
0001628280-24-035757	1897956	Series A Preferred Stock			F10				F10		F10	Common Stock		768000.0				768000.0				I			
0001628280-24-035755	1892070	Restricted Stock Units			F6				F7		F7	Common Stock		3810.0				3810.0				D		By Mariposa Acquisition IV, LLC	F5
0001628280-24-035755	1892071	Series A Preferred Stock			F8				F8		F8	Common Stock		768000.0				768000.0				I			
0001070235-24-000106	1874141	Restricted Share Units			F2				F5		F5	Common Shares		1600.0								D			
0001070235-24-000106	1874140	Restricted Share Units			F2				F4		F4	Common Shares		6628.0								D			
0001070235-24-000106	1874139	Restricted Share Units			F2				F3		F3	Common Shares		14577.0								D			
0001070235-24-000106	1874138	Performance-Based Restricted Share Units			F2				F1		F1	Common Shares		549.0								D			
