holding_months,rebalance_date,ticker,trade_size,signal_prob_up,signal_median_return,buy_date,buy_price,sell_target,sell_date,sell_price,shares,invested,value,pnl,return_pct,open,spy_buy_price,spy_sell_price,spy_value,spy_pnl,spy_return_pct,excess_return,beat_spy
3,2025-11-15,GOOGL,175000.0,0.752,0.03530523231062932,2025-11-17,284.4634,2026-02-15,2026-02-17,301.6273,0.351539,100.0,106.0338,6.0338,0.060338,False,661.9011,680.9902,102.884,2.884,0.02884,0.031498,True
3,2025-11-15,AAPL,375000.0,0.708,0.02166581366267195,2025-11-17,266.964,2026-02-15,2026-02-17,263.6371,0.374582,100.0,98.7538,-1.2462,-0.012462,False,661.9011,680.9902,102.884,2.884,0.02884,-0.041302,False
3,2025-12-01,AAPL,32500.0,0.706,0.021073733096371505,2025-12-01,282.575,2026-03-01,2026-03-02,264.4763,0.353888,100.0,93.5951,-6.4049,-0.064049,False,676.4185,684.5106,101.1963,1.1963,0.011963,-0.076012,False
3,2025-12-01,CSCO,32500.0,0.667,0.016163207998135753,2025-12-01,75.2276,2026-03-01,2026-03-02,78.992,1.329299,100.0,105.0039,5.0039,0.050039,False,676.4185,684.5106,101.1963,1.1963,0.011963,0.038076,True
3,2025-12-15,JNJ,32500.0,0.849,0.0257925018263514,2025-12-15,211.8193,2026-03-15,2026-03-16,241.7994,0.472101,100.0,114.1536,14.1536,0.141536,False,676.8759,667.2079,98.5717,-1.4283,-0.014283,0.15582,True
3,2025-12-15,COF,75000.0,0.567,0.007650550759454866,2025-12-15,237.8748,2026-03-15,2026-03-16,179.9974,0.420389,100.0,75.6689,-24.3311,-0.243311,False,676.8759,667.2079,98.5717,-1.4283,-0.014283,-0.229027,False
3,2026-01-01,GOOGL,175000.0,0.708,0.028974691663207652,2026-01-02,314.7403,2026-04-01,2026-04-01,297.2125,0.317722,100.0,94.431,-5.569,-0.05569,False,681.3093,655.24,96.1736,-3.8264,-0.038264,-0.017426,False
3,2026-01-01,NVDA,8000.0,0.501,0.00026891810838791663,2026-01-02,188.6199,2026-04-01,2026-04-01,175.5454,0.530167,100.0,93.0683,-6.9317,-0.069317,False,681.3093,655.24,96.1736,-3.8264,-0.038264,-0.031053,False
3,2026-01-15,PRU,15000000.0,0.736,0.017773383395647713,2026-01-15,113.3272,2026-04-15,2026-04-15,98.0832,0.8824,100.0,86.5486,-13.4514,-0.134514,False,690.3546,699.94,101.3885,1.3885,0.013885,-0.148398,False
3,2026-01-15,ACN,8000.0,0.641,0.01649994310430447,2026-01-15,285.3501,2026-04-15,2026-04-15,194.0,0.350447,100.0,67.9867,-32.0133,-0.320133,False,690.3546,699.94,101.3885,1.3885,0.013885,-0.334018,False
3,2026-02-01,GOOGL,750000.0,0.698,0.023655764099067778,2026-02-02,343.2432,2026-05-01,2026-05-01,385.4598,0.291339,100.0,112.2993,12.2993,0.122993,False,693.516,720.65,103.9125,3.9125,0.039125,0.083868,True
3,2026-02-01,T,32500.0,0.611,0.009840774341263403,2026-02-02,26.0276,2026-05-01,2026-05-01,26.12,3.842077,100.0,100.355,0.355,0.00355,False,693.516,720.65,103.9125,3.9125,0.039125,-0.035575,False
3,2026-02-15,IFF,175000.0,0.719,0.028192771912982417,2026-02-17,82.2542,2026-05-15,2026-05-15,73.1,1.215743,100.0,88.8708,-11.1292,-0.111292,False,680.9902,739.17,108.5434,8.5434,0.085434,-0.196726,False
3,2026-02-15,ETN,75000.0,0.619,0.01644034161070862,2026-02-17,389.1975,2026-05-15,2026-05-15,399.44,0.256939,100.0,102.6317,2.6317,0.026317,False,680.9902,739.17,108.5434,8.5434,0.085434,-0.059117,False
3,2026-03-01,MU,175000.0,0.703,0.06241040664267716,2026-03-02,412.4967,2026-06-01,2026-06-01,1035.5,0.242426,100.0,251.0323,151.0323,1.510323,False,684.5106,758.54,110.8149,10.8149,0.108149,1.402174,True
3,2026-03-01,LRCX,32500.0,0.682,0.04527807643948378,2026-03-02,230.7236,2026-06-01,2026-06-01,317.12,0.433419,100.0,137.4459,37.4459,0.374459,False,684.5106,758.54,110.8149,10.8149,0.108149,0.266309,True
