rule,rebalance_date,ticker,signal_prob_up,signal_median_return,buy_date,buy_price,exit_date,exit_price,exit_reason,hold_days,invested,value,pnl,return_pct,open,spy_value,spy_pnl,spy_return_pct,excess_return,beat_spy
trail_15,2026-05-01,GLW,0.617,0.03621862459714831,2026-05-01,158.0178,2026-05-19,175.5609,trail,18,100.0,111.102,11.102,0.11102,False,101.815,1.815,0.01815,0.09287,True
trail_15,2026-05-01,C,0.576,0.010850752182865353,2026-05-01,126.84,2026-06-12,139.83,open,42,100.0,110.2412,10.2412,0.102412,True,102.9279,2.9279,0.029279,0.073133,True
trail_15,2026-05-15,AMD,0.763,0.08809886640354714,2026-05-15,424.1,2026-06-10,452.4,trail,26,100.0,106.673,6.673,0.06673,False,98.1412,-1.8588,-0.018588,0.085318,True
trail_15,2026-05-15,KEYS,0.666,0.04102265868910093,2026-05-15,349.01,2026-06-12,350.67,open,28,100.0,100.4756,0.4756,0.004756,True,100.349,0.349,0.00349,0.001266,True
trail_15,2026-06-01,TXN,0.716,0.049561145078502955,2026-06-01,293.2,2026-06-12,301.12,open,11,100.0,102.7012,2.7012,0.027012,True,97.7865,-2.2135,-0.022135,0.049147,True
trail_15,2026-06-01,AAPL,0.717,0.021055134333178405,2026-06-01,306.31,2026-06-12,291.13,open,11,100.0,95.0442,-4.9558,-0.049558,True,97.7865,-2.2135,-0.022135,-0.027423,False
trail_20,2025-10-01,GOOGL,0.815,0.03962102370268883,2025-10-01,244.4218,2026-03-27,274.1762,trail,177,100.0,112.1734,12.1734,0.121734,False,95.3999,-4.6001,-0.046001,0.167735,True
trail_20,2025-10-01,AAPL,0.705,0.02301343664636124,2025-10-01,254.7293,2026-04-01,255.3947,time,182,100.0,100.2612,0.2612,0.002612,False,98.5819,-1.4181,-0.014181,0.016793,True
trail_20,2025-10-15,GOOGL,0.764,0.03345797853406318,2025-10-15,250.5398,2026-03-27,274.1762,trail,163,100.0,109.4342,9.4342,0.094342,False,95.8703,-4.1297,-0.041297,0.135639,True
trail_20,2025-10-15,AAPL,0.662,0.018319187647050317,2025-10-15,248.6366,2026-04-15,266.1848,time,182,100.0,107.0578,7.0578,0.070578,False,105.8264,5.8264,0.058264,0.012314,True
trail_20,2025-11-01,STX,0.731,0.06257411444673466,2025-11-03,264.3939,2026-03-06,352.1856,trail,123,100.0,133.2049,33.2049,0.332049,False,98.6869,-1.3131,-0.013131,0.34518,True
trail_20,2025-11-01,GOOGL,0.797,0.04035792914395753,2025-11-03,283.1659,2026-03-27,274.1762,trail,144,100.0,96.8253,-3.1747,-0.031747,False,93.3211,-6.6789,-0.066789,0.035042,True
